Neighborhood,Sector #,Population (2010),Miles of Major Roads,Total Street Miles,Street Density (st. mi/area sq. mi),# Sets of Steps,# Step Treads,Res. Permit Parking Area(s),Total Working Pop. (Age 16+) (2010),Commute to Work: Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Taxi (2010),Commute to Work: Motorcycle (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Work at Home (2010)
Allegheny Center,3,933,2.2324254,4.141467313,19.72127292,0,0,None,386,0.277202073,0.098445596,0.168393782,0,0,0,0.437823834,0,0.018134715
Allegheny West,3,462,1.471627067,4.870842654,34.54498336,0,0,G,151,0.231788079,0.205298013,0.158940397,0.145695364,0,0,0.258278146,0,0
Allentown,6,2500,1.64845134,12.32568889,41.78199623,12,474,None,824,0.469660194,0.109223301,0.379854369,0,0.008495146,0,0,0.014563107,0.018203883
Arlington,7,1869,0.861571422,10.73426916,22.83887056,13,428,None,673,0.739970282,0.072808321,0.135215453,0,0,0,0.019316493,0.008915305,0.023774146
Arlington Heights,7,244,0,1.086460279,8.230759693,0,0,None,72,0.111111111,0,0.888888889,0,0,0,0,0,0
Banksville,5,4144,5.985604527,18.326885,18.91319402,4,322,None,2506,0.815243416,0.058659218,0.116919393,0,0,0,0.006783719,0.002394254,0
Bedford Dwellings,15,1202,0.973902586,4.484253024,25.05169287,3,234,None,305,0.367213115,0.167213115,0.337704918,0,0,0,0.127868852,0,0
Beechview,5,7974,6.419742584,30.74754914,21.05996516,39,2494,"BB, T",3909,0.550780251,0.153491942,0.21156306,0,0,0.005628038,0.0526989,0,0.02583781
Beltzhoover,6,1925,3.322288603,17.25816869,40.99327479,16,595,None,706,0.457507082,0.080736544,0.430594901,0,0,0,0,0,0.031161473
Bloomfield,12,8442,3.79509427,31.74456135,45.22017286,3,131,"H, R",5117,0.420363494,0.092632402,0.200312683,0,0.008403361,0.064295486,0.188196209,0,0.025796365
Bluff,15,6600,9.079286723,16.47639615,50.38653258,2,188,P,1379,0.255257433,0.039883974,0.230601885,0,0,0,0.430746918,0,0.04350979
Bon Air,6,808,1.666389765,9.16807268,29.29096703,1,57,None,438,0.602739726,0.207762557,0.134703196,0,0,0,0.03652968,0,0.01826484
Brighton Heights,2,7247,4.189084467,29.51832368,26.42643122,10,477,None,3968,0.630544355,0.114919355,0.179435484,0,0.005040323,0,0.032006048,0.01108871,0.026965726
Brookline,5,13214,9.145971049,56.87743221,27.3186514,25,1797,None,7067,0.731144757,0.09692939,0.120277345,0.003679072,0.008065657,0.00155653,0.027593038,0.005943116,0.004811094
California-Kirkbride,3,761,1.58285757,6.378903659,29.3958694,9,748,None,227,0.453744493,0,0.40969163,0,0,0,0.136563877,0,0
Carrick,5,10113,6.563257419,45.98208594,27.48480929,20,1193,None,4783,0.620949195,0.103282459,0.19569308,0,0.002717959,0,0.046623458,0,0.030733849
Central Business District,16,3629,13.55110042,30.84311742,48.19237097,0,0,None,1566,0.247765006,0.053639847,0.211366539,0,0,0,0.41954023,0,0.067688378
Central Lawrenceville,13,4482,2.529793549,18.25959939,18.9611624,1,9,A,2111,0.518237802,0.201800095,0.174324964,0,0,0.014684983,0.076740881,0,0.014211274
Central Northside,3,2923,1.810786932,12.1782017,47.02008379,4,395,L,1514,0.478863937,0.081241744,0.19682959,0,0,0.020475561,0.180977543,0,0.041611625
Central Oakland,14,6086,1.118994383,9.500026404,33.80792315,7,462,"B, D",2509,0.162614587,0.068951774,0.1327222,0,0,0,0.623754484,0,0.011956955
Chartiers City,4,477,0.349860721,4.323644204,32.75488034,1,81,None,178,0.775280899,0.078651685,0.146067416,0,0,0,0,0,0
Chateau,3,11,5.722041835,13.43869554,35.08797791,0,0,None,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crafton Heights,4,3814,3.042240587,19.32852447,25.63464783,9,632,None,1757,0.677290837,0.122936824,0.168468981,0,0.007398976,0,0.007968127,0.007398976,0.008537279
Crawford-Roberts,15,2256,1.567403887,11.08725052,42.97383921,4,197,W,635,0.653543307,0.096062992,0.165354331,0.020472441,0,0,0.064566929,0,0
Duquesne Heights,6,2425,4.079340893,14.04914652,22.55079697,12,529,None,1223,0.559280458,0.162714636,0.140637776,0,0,0,0.028618152,0.017170891,0.091578087
East Allegheny,3,2136,7.585962531,16.9403592,71.78118305,4,487,F,1195,0.442677824,0.122175732,0.229288703,0,0,0.009205021,0.135564854,0.008368201,0.052719665
East Carnegie,4,570,0.771847004,5.55360847,12.85557516,0,0,None,86,1,0,0,0,0,0,0,0,0
East Hills,11,3169,1.677346998,14.62474166,27.0327942,5,738,None,802,0.460099751,0.105985037,0.36159601,0,0,0,0.028678304,0.033665835,0.009975062
East Liberty,12,5869,4.591670921,21.13386738,36.37498688,0,0,None,2377,0.478754733,0.100967606,0.238115271,0,0,0,0.15902398,0.009255364,0.013883046
