fid,code,acres,sqmiles,created_user,created_date,last_edited_user,last_edited_date,landslideprone,shape_length,shape_area
1,p,911.371,1.424,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.373809836150785,0.000391698809061439
2,p,721.516,1.127,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.350344779816282,0.000310142942689633
3,p,19.157,0.03,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.0139770599969945,8.23549412642863e-06
4,p,24.743,0.039,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.047021345814298,1.06366765957792e-05
5,p,453.695,0.709,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.334613643704786,0.000195009806721443
6,p,246.52,0.385,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.189933938203302,0.000105958136040056
7,p,9.586,0.015,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.00890635530833936,4.12018474546345e-06
8,p,3.9,0.006,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.00916155804497621,1.67619032963597e-06
9,p,111.811,0.175,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.121511752239727,4.80502364108142e-05
10,p,84.537,0.132,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.0618467634783708,3.63317124520401e-05
11,p,1.654,0.003,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.00402978491724318,7.10776389223174e-07
12,p,13.71,0.021,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.0192877871374598,5.89219689507346e-06
13,p,6.246,0.01,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.00770388634079325,2.68456911793318e-06
14,p,5.535,0.009,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.0124651577168485,2.37879426107591e-06
15,p,43.316,0.068,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.0548124633992695,1.86139972881051e-05
16,p,568.816,0.889,pgh.admin,2018/03/19 19:03:26,pgh.admin,2018/03/19 19:03:26,Yes,0.408012981154326,0.000244389258399449
