objectid,zip,name,zip_type,state,state_fips,county_fips,county_name,s3dzip,lat,lon,empty_col,tot_res_cnt,mfdu,sfdu,box_cnt,biz_cnt,relver,color,globalid,shape_st_area,shape_st_length
4,15007,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.65668829,-79.93212966, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.1917725,20129.3081236352
5,15014,BRACKENRIDGE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.60796437,-79.74083155, ,1493,59,1396,38,76,1.9.3,5,{D7938129-8427-49A4-8C6C-3A19848432D4},15153375.583252,16855.5464285013
6,15015,BRADFORD WOODS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6364525,-80.08523523, ,525,0,430,95,56,1.9.3,10,{BABB5D5E-1FF4-4E03-BBAB-B84CBB5BFB31},26137182.4910889,33453.2621951169
8,15018,BUENA VISTA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.28940773,-79.79123687, ,415,0,286,129,22,1.9.3,11,{4E2C2FAA-7976-4BEF-8119-BBB65C2F7014},60962102.5350037,76802.2327559588
14,15034,DRAVOSBURG,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,,, ,979,0,950,29,104,1.9.3,6,{C7A863B3-22E1-42B1-A368-872E83B4A9CC},29350042.1168823,26075.2468621171
15,15030,CREIGHTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.58806677,-79.77999562, ,532,1,491,40,64,1.9.3,0,{5E20E33C-05C8-49F4-A63F-B29340E9BC6E},46031782.0288086,61125.2059714738
19,15035,EAST MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.39846801,-79.81833267, ,1141,51,1062,28,70,1.9.3,10,{5727D3B9-700D-43F7-B621-1FFACDA2A5B9},11959237.5730286,18567.5465161071
23,15046,CRESCENT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.55563839,-80.22832411, ,1116,0,1060,56,63,1.9.3,0,{14AA359E-C043-4826-B9E7-450800598D51},62264379.2061157,41170.1950131588
25,15049,HARWICK,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.55594268,-79.80560481, ,546,0,463,83,23,1.9.3,15,{CEC8C572-1900-45CE-88AF-EC3E199852EF},18921596.347229,26044.3527021944
30,15064,MORGAN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.3570462,-80.14755828, ,197,0,160,37,54,1.9.3,12,{1FA645FE-C42C-4C6F-A8F7-575717E417F3},16646642.1779785,35948.483812897
