objectid,pghdb_sde_zoning_area,perimeter,zoning,zoning_id,zon_new,shape_leng,correctionlabel,full_zoning_type,legendtype,municode,status,globalid,created_user,created_date,last_edited_user,last_edited_date,shape_area,shape_length
1,404170.09278156,4020.23181624,2,2,P,4020.23181624,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,b54df7d1-57d2-4175-8a34-5334046e889b,,,,,404170.092681885,4020.23181623321
2,332097.78655944,3522.59476471,3,3,P,3522.59476471,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,1ea53324-e92d-4394-a83f-3071504db7a6,,,,,332097.786590576,3522.59476473537
3,192093.37820681,2748.83390987,4,4,LNC,2748.83390987,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,a6c3a94a-3e71-4dc2-8c71-36dc7d875a2c,,,,,192093.378234863,2748.83390986738
4,22816.70675062,715.33386934,5,5,LNC,715.33386934,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,4d7c43e4-16db-48a3-94e0-41e199758453,,,,,22816.7067565918,715.333869333186
5,962349.84863285,4499.18993466,6,6,P,4499.18993466,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,2054eea1-e74f-4aa6-a2c3-c1dee4a6cc10,,,,,962349.848602295,4499.1899346445
6,214271.96684978,2498.33606829,7,7,HC,2498.33606829,,HIGHWAY COMMERCIAL,Highway Commercial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.05HC*,Approved,b09209a3-a04d-4f4e-9c13-85fd940f0cd8,,,,,214271.96673584,2498.33606824873
7,45101.43203012,888.78582195,8,8,LNC,888.78582195,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,96ffe56b-0cca-405c-b504-709aa672d534,,,,,45101.4320373535,888.785821947045
8,8776.73223473,382.9809795,9,9,R1D-M,382.9809795,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,541ae3e2-17e5-4569-9eff-18e9718a0ea8,,,,,8776.73220825195,382.980979499781
9,1002648.03135102,4890.47126151,10,10,R1D-M,4890.47126151,,SINGLE-UNIT DETACHED RESIDENTIAL MODERATE DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,951a81d0-d12b-4453-a1d4-28df372ed10c,,,,,1002648.03137207,4890.47126146109
10,542910.87079459,4975.54243909,11,11,UI,4975.54243909,,URBAN INDUSTRIAL,Urban Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.07UI*,Approved,6785e521-3906-473d-b776-2c3a358ac4f9,,,,,542910.870819092,4975.54243908678
11,1111409.97296043,4819.51169427,12,12,R1D-L,4819.51169427,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,88d4ed41-9379-4e01-b931-29741de86bda,,,,,1111409.97290039,4819.5116942638
12,219826.50774344,2832.12816353,13,13,R1D-L,2832.12816353,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,9668783e-3761-477c-baf1-13471b343070,,,,,219826.507720947,2832.12816350072
13,1392638.00148259,7671.11834609,14,14,P,7671.11834609,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,4c799369-44a7-48c1-a06a-4723f2fc3f11,,,,,1392638.00158691,7671.11834607905
14,3481677.54318665,12382.46746535,16,16,RP,12382.4674654,,RESIDENTIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved,bf49d166-5dd9-4565-9fb7-5b5fc30a9712,,,,,3481677.54330444,12382.4674653925
15,21392.5818871,595.55668248,17,17,R1D-L,595.55668248,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,c73ae7e2-66d3-46e8-b6c7-188758d15e58,,,,,21392.581817627,595.556682495607
16,435690.53285816,4245.80533317,18,18,NDI,4245.80533317,,NEIGHBORHOOD INDUSTRIAL,Neighborhood Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.03ND*,Approved,83dcfe10-b909-4bb9-8124-098aa26cc2bf,,,,,435690.532897949,4245.805333147
17,1498016.58833171,6266.33722531,19,19,P,6266.33722531,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,2d26465a-b355-4651-a47a-e07ee666b79c,,,,,1498016.5881958,6266.33722531355
18,2214486.73887709,11146.76345571,20,20,R1D-L,11146.7634557,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,44afbae0-2748-458a-807a-681720ad6985,,,,,2214486.73883057,11146.7634556889
19,427781.61628558,3115.96900382,21,21,R2-L,3115.96900382,,TWO-UNIT RESIDENTIAL LOW DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,fd689ad1-87b4-4b35-b3d2-637e478bfee3,,,,,427781.61630249,3115.9690038028
20,171374.41800511,2088.21664321,22,22,UI,2088.21664321,,URBAN INDUSTRIAL,Urban Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.07UI*,Approved,ab004349-71c8-458c-bec4-3f4dd5b89180,,,,,171374.417999268,2088.21664324825
21,175991.35072565,2333.49596178,23,23,P,2333.49596178,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,124192d6-9eef-4dda-a693-cd51101e0bd0,,,,,175991.350738525,2333.49596175111
22,1851600.22500453,9986.35468978,24,24,R1D-L,9986.35468978,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,a46fba43-46f2-47d4-94ad-3e988a8ae9ed,,,,,1851600.22503662,9986.35468975991
23,48882.52846068,1069.50301856,25,25,R1D-L,1069.50301856,,SINGLE-UNIT DETACHED RESIDENTIAL LOW DENSITY,Single-Unit Detached Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,72de3c95-2a97-4f8a-8ad3-dfcba9208477,,,,,48882.5284118652,1069.50301854196
